,strategy,date,pnl
20798,100_10_0.5,2016-11-07,1328960
20799,100_10_0.5,2016-11-08,1334110
20800,100_10_0.5,2016-11-09,1323660
20801,100_10_0.5,2016-11-10,1314260
20802,100_10_0.5,2016-11-11,1305460
20803,100_10_0.5,2016-11-14,1301255
20804,100_10_0.5,2016-11-15,1299815
20805,100_10_0.5,2016-11-16,1300470
20806,100_10_0.5,2016-11-17,1298910
20807,100_10_0.5,2016-11-18,1297280
20808,100_10_0.5,2016-11-21,1297940
20809,100_10_0.5,2016-11-22,1292945
20810,100_10_0.5,2016-11-23,1289765
20811,100_10_0.5,2016-11-25,1288965
20812,100_10_0.5,2016-11-28,1293270
20813,100_10_0.5,2016-11-29,1294050
20814,100_10_0.5,2016-11-30,1294585
20815,100_10_0.5,2016-12-01,1298890
20816,100_10_0.5,2016-12-02,1297235
20817,100_10_0.5,2016-12-05,1289220
20818,100_10_0.5,2016-12-06,1285990
20819,100_10_0.5,2016-12-07,1282940
20820,100_10_0.5,2016-12-08,1281997
20821,100_10_0.5,2016-12-09,1281345
20822,100_10_0.5,2016-12-12,1283285
20823,100_10_0.5,2016-12-13,1282015
20824,100_10_0.5,2016-12-14,1287085
20825,100_10_0.5,2016-12-15,1289500
20826,100_10_0.5,2016-12-16,1293010
20827,100_10_0.5,2016-12-19,1293547
20828,100_10_0.5,2016-12-20,1288187
20829,100_10_0.5,2016-12-21,1290092
20830,100_10_0.5,2016-12-22,1294217
20831,100_10_0.5,2016-12-23,1296297
20832,100_10_0.5,2016-12-27,1293822
20833,100_10_0.5,2016-12-28,1300387
20834,100_10_0.5,2016-12-29,1297575
20835,100_10_0.5,2016-12-30,1300632
20836,100_10_0.5,2017-01-03,1301787
20837,100_10_0.5,2017-01-04,1292020
20838,100_10_0.5,2017-01-05,1303832
20839,100_10_0.5,2017-01-06,1311220
20840,100_10_0.5,2017-01-09,1315985
20841,100_10_0.5,2017-01-10,1313055
20842,100_10_0.5,2017-01-11,1310442
20843,100_10_0.5,2017-01-12,1319007
20844,100_10_0.5,2017-01-13,1319577
20845,100_10_0.5,2017-01-17,1330037
20846,100_10_0.5,2017-01-18,1335217
20847,100_10_0.5,2017-01-19,1335362
20848,100_10_0.5,2017-01-20,1337827
20849,100_10_0.5,2017-01-23,1338842
20850,100_10_0.5,2017-01-24,1340437
20851,100_10_0.5,2017-01-25,1341017
20852,100_10_0.5,2017-01-26,1342177
20853,100_10_0.5,2017-01-27,1342032
20854,100_10_0.5,2017-01-30,1339857
20855,100_10_0.5,2017-01-31,1340147
20856,100_10_0.5,2017-02-01,1341597
20857,100_10_0.5,2017-02-02,1341017
20858,100_10_0.5,2017-02-03,1342177
20859,100_10_0.5,2017-02-06,1342757
20860,100_10_0.5,2017-02-07,1343337
20861,100_10_0.5,2017-02-08,1344642
20862,100_10_0.5,2017-02-09,1343917
20863,100_10_0.5,2017-02-10,1342757
20864,100_10_0.5,2017-02-13,1346592
20865,100_10_0.5,2017-02-14,1348292
20866,100_10_0.5,2017-02-15,1342355
20867,100_10_0.5,2017-02-16,1346662
20868,100_10_0.5,2017-02-17,1349360
20869,100_10_0.5,2017-02-21,1339910
20870,100_10_0.5,2017-02-22,1345665
20871,100_10_0.5,2017-02-23,1351657
20872,100_10_0.5,2017-02-24,1353540
20873,100_10_0.5,2017-02-27,1341500
20874,100_10_0.5,2017-02-28,1359712
20875,100_10_0.5,2017-03-01,1337702
20876,100_10_0.5,2017-03-02,1358917
20877,100_10_0.5,2017-03-03,1365232
20878,100_10_0.5,2017-03-06,1378070
20879,100_10_0.5,2017-03-07,1398695
20880,100_10_0.5,2017-03-08,1414307
20881,100_10_0.5,2017-03-09,1417127
20882,100_10_0.5,2017-03-10,1420652
20883,100_10_0.5,2017-03-13,1424792
20884,100_10_0.5,2017-03-14,1426682
20885,100_10_0.5,2017-03-15,1418827
20886,100_10_0.5,2017-03-16,1420147
20887,100_10_0.5,2017-03-17,1415527
20888,100_10_0.5,2017-03-20,1425932
20889,100_10_0.5,2017-03-21,1440857
20890,100_10_0.5,2017-03-22,1441237
20891,100_10_0.5,2017-03-23,1441427
20892,100_10_0.5,2017-03-24,1441807
20893,100_10_0.5,2017-03-27,1444657
20894,100_10_0.5,2017-03-28,1446747
20895,100_10_0.5,2017-03-29,1447127
20896,100_10_0.5,2017-03-30,1444277
20897,100_10_0.5,2017-03-31,1442187
20898,100_10_0.5,2017-04-03,1446937
20899,100_10_0.5,2017-04-04,1447697
20900,100_10_0.5,2017-04-05,1447887
20901,100_10_0.5,2017-04-06,1447127
20902,100_10_0.5,2017-04-07,1448267
20903,100_10_0.5,2017-04-10,1447122
20904,100_10_0.5,2017-04-11,1442527
20905,100_10_0.5,2017-04-12,1444627
20906,100_10_0.5,2017-04-13,1450187
20907,100_10_0.5,2017-04-17,1460192
20908,100_10_0.5,2017-04-18,1456362
20909,100_10_0.5,2017-04-19,1453297
20910,100_10_0.5,2017-04-20,1447747
20911,100_10_0.5,2017-04-21,1446207
20912,100_10_0.5,2017-04-24,1439617
20913,100_10_0.5,2017-04-25,1430717
20914,100_10_0.5,2017-04-26,1423897
20915,100_10_0.5,2017-04-27,1426212
20916,100_10_0.5,2017-04-28,1441852
20917,100_10_0.5,2017-05-01,1438997
20918,100_10_0.5,2017-05-02,1449537
20919,100_10_0.5,2017-05-03,1458732
20920,100_10_0.5,2017-05-04,1460082
20921,100_10_0.5,2017-05-05,1449947
20922,100_10_0.5,2017-05-08,1460320
20923,100_10_0.5,2017-05-09,1465762
20924,100_10_0.5,2017-05-10,1441295
20925,100_10_0.5,2017-05-11,1444610
20926,100_10_0.5,2017-05-12,1448997
20927,100_10_0.5,2017-05-15,1444730
20928,100_10_0.5,2017-05-16,1446042
20929,100_10_0.5,2017-05-17,1456932
20930,100_10_0.5,2017-05-18,1460382
20931,100_10_0.5,2017-05-19,1460277
20932,100_10_0.5,2017-05-22,1459887
20933,100_10_0.5,2017-05-23,1458980
20934,100_10_0.5,2017-05-24,1460937
20935,100_10_0.5,2017-05-25,1462572
20936,100_10_0.5,2017-05-26,1465422
20937,100_10_0.5,2017-05-30,1478195
20938,100_10_0.5,2017-05-31,1482117
20939,100_10_0.5,2017-06-01,1451750
20940,100_10_0.5,2017-06-02,1434267
20941,100_10_0.5,2017-06-05,1445022
20942,100_10_0.5,2017-06-06,1445600
20943,100_10_0.5,2017-06-07,1446680
20944,100_10_0.5,2017-06-08,1440560
20945,100_10_0.5,2017-06-09,1437320
20946,100_10_0.5,2017-06-12,1439320
20947,100_10_0.5,2017-06-13,1440040
20948,100_10_0.5,2017-06-14,1445490
20949,100_10_0.5,2017-06-15,1451555
20950,100_10_0.5,2017-06-16,1456215
20951,100_10_0.5,2017-06-19,1451855
20952,100_10_0.5,2017-06-20,1461855
20953,100_10_0.5,2017-06-21,1465205
20954,100_10_0.5,2017-06-22,1462695
20955,100_10_0.5,2017-06-23,1457490
20956,100_10_0.5,2017-06-26,1456270
20957,100_10_0.5,2017-06-27,1464920
20958,100_10_0.5,2017-06-28,1450005
20959,100_10_0.5,2017-06-29,1456275
20960,100_10_0.5,2017-06-30,1454035
20961,100_10_0.5,2017-07-03,1450495
20962,100_10_0.5,2017-07-05,1453430
20963,100_10_0.5,2017-07-06,1473300
20964,100_10_0.5,2017-07-07,1459160
20965,100_10_0.5,2017-07-10,1468000
20966,100_10_0.5,2017-07-11,1465375
20967,100_10_0.5,2017-07-12,1446765
20968,100_10_0.5,2017-07-13,1451345
20969,100_10_0.5,2017-07-14,1447135
20970,100_10_0.5,2017-07-17,1449070
20971,100_10_0.5,2017-07-18,1454992
20972,100_10_0.5,2017-07-19,1438515
20973,100_10_0.5,2017-07-20,1433402
20974,100_10_0.5,2017-07-21,1445230
20975,100_10_0.5,2017-07-24,1444760
20976,100_10_0.5,2017-07-25,1421187
20977,100_10_0.5,2017-07-26,1432785
20978,100_10_0.5,2017-07-27,1451860
20979,100_10_0.5,2017-07-28,1458330
20980,100_10_0.5,2017-07-31,1465655
20981,100_10_0.5,2017-08-01,1468215
20982,100_10_0.5,2017-08-02,1500020
20983,100_10_0.5,2017-08-03,1507310
20984,100_10_0.5,2017-08-04,1505420
20985,100_10_0.5,2017-08-07,1504610
20986,100_10_0.5,2017-08-08,1506770
20987,100_10_0.5,2017-08-09,1512170
20988,100_10_0.5,2017-08-10,1511630
20989,100_10_0.5,2017-08-11,1514600
20990,100_10_0.5,2017-08-14,1522050
20991,100_10_0.5,2017-08-15,1535215
20992,100_10_0.5,2017-08-16,1539655
20993,100_10_0.5,2017-08-17,1538785
20994,100_10_0.5,2017-08-18,1538060
20995,100_10_0.5,2017-08-21,1539220
20996,100_10_0.5,2017-08-22,1540815
20997,100_10_0.5,2017-08-23,1540670
20998,100_10_0.5,2017-08-24,1539800
20999,100_10_0.5,2017-08-25,1540380
21000,100_10_0.5,2017-08-28,1540670
21001,100_10_0.5,2017-08-29,1541250
21002,100_10_0.5,2017-08-30,1541395
21003,100_10_0.5,2017-08-31,1538930
21004,100_10_0.5,2017-09-01,1538495
21005,100_10_0.5,2017-09-05,1540525
21006,100_10_0.5,2017-09-06,1539365
21007,100_10_0.5,2017-09-07,1541540
21008,100_10_0.5,2017-09-08,1541395
21009,100_10_0.5,2017-09-11,1540270
21010,100_10_0.5,2017-09-12,1537820
21011,100_10_0.5,2017-09-13,1538767
21012,100_10_0.5,2017-09-14,1540365
21013,100_10_0.5,2017-09-15,1537855
21014,100_10_0.5,2017-09-18,1535450
21015,100_10_0.5,2017-09-19,1535697
21016,100_10_0.5,2017-09-20,1534157
21017,100_10_0.5,2017-09-21,1532327
21018,100_10_0.5,2017-09-22,1531037
21019,100_10_0.5,2017-09-25,1532490
21020,100_10_0.5,2017-09-26,1531037
21021,100_10_0.5,2017-09-27,1525677
21022,100_10_0.5,2017-09-28,1526715
21023,100_10_0.5,2017-09-29,1526645
21024,100_10_0.5,2017-10-02,1525090
21025,100_10_0.5,2017-10-03,1524645
21026,100_10_0.5,2017-10-04,1524560
21027,100_10_0.5,2017-10-05,1523847
21028,100_10_0.5,2017-10-06,1524915
21029,100_10_0.5,2017-10-09,1526250
21030,100_10_0.5,2017-10-10,1527150
21031,100_10_0.5,2017-10-11,1527917
21032,100_10_0.5,2017-10-12,1527837
21033,100_10_0.5,2017-10-13,1529792
21034,100_10_0.5,2017-10-16,1533387
21035,100_10_0.5,2017-10-17,1535217
21036,100_10_0.5,2017-10-18,1531742
21037,100_10_0.5,2017-10-19,1535032
21038,100_10_0.5,2017-10-20,1534387
21039,100_10_0.5,2017-10-23,1536912
21040,100_10_0.5,2017-10-24,1535077
21041,100_10_0.5,2017-10-25,1536357
21042,100_10_0.5,2017-10-26,1536697
21043,100_10_0.5,2017-10-27,1536737
21044,100_10_0.5,2017-10-30,1541082
21045,100_10_0.5,2017-10-31,1536342
21046,100_10_0.5,2017-11-01,1541532
21047,100_10_0.5,2017-11-02,1541102
21048,100_10_0.5,2017-11-03,1543397
21049,100_10_0.5,2017-11-06,1546012
21050,100_10_0.5,2017-11-07,1544122
21051,100_10_0.5,2017-11-08,1543952
21052,100_10_0.5,2017-11-09,1542287
21053,100_10_0.5,2017-11-10,1545802
21054,100_10_0.5,2017-11-13,1545982
21055,100_10_0.5,2017-11-14,1540737
21056,100_10_0.5,2017-11-15,1541292
21057,100_10_0.5,2017-11-16,1553512
21058,100_10_0.5,2017-11-17,1557277
21059,100_10_0.5,2017-11-20,1554687
21060,100_10_0.5,2017-11-21,1550957
21061,100_10_0.5,2017-11-22,1547565
21062,100_10_0.5,2017-11-24,1548215
21063,100_10_0.5,2017-11-27,1555185
21064,100_10_0.5,2017-11-28,1536675
21065,100_10_0.5,2017-11-29,1527820
21066,100_10_0.5,2017-11-30,1528162
21067,100_10_0.5,2017-12-01,1533867
21068,100_10_0.5,2017-12-04,1535657
21069,100_10_0.5,2017-12-05,1556107
21070,100_10_0.5,2017-12-06,1568260
21071,100_10_0.5,2017-12-07,1567795
21072,100_10_0.5,2017-12-08,1568880
21073,100_10_0.5,2017-12-11,1571880
21074,100_10_0.5,2017-12-12,1575860
21075,100_10_0.5,2017-12-13,1573122
21076,100_10_0.5,2017-12-14,1577470
21077,100_10_0.5,2017-12-15,1569275
21078,100_10_0.5,2017-12-18,1566280
21079,100_10_0.5,2017-12-19,1568612
21080,100_10_0.5,2017-12-20,1567270
21081,100_10_0.5,2017-12-21,1564425
21082,100_10_0.5,2017-12-22,1568655
21083,100_10_0.5,2017-12-26,1566985
21084,100_10_0.5,2017-12-27,1567880
21085,100_10_0.5,2017-12-28,1567075
21086,100_10_0.5,2017-12-29,1570857
21087,100_10_0.5,2018-01-04,1563252
21088,100_10_0.5,2018-01-05,1564022
21089,100_10_0.5,2018-01-08,1562230
21090,100_10_0.5,2018-01-09,1562335
21091,100_10_0.5,2018-01-10,1564650
21092,100_10_0.5,2018-01-11,1550605
21093,100_10_0.5,2018-01-12,1550152
21094,100_10_0.5,2018-01-16,1554487
21095,100_10_0.5,2018-01-17,1549725
21096,100_10_0.5,2018-01-18,1552755
21097,100_10_0.5,2018-01-19,1544930
21098,100_10_0.5,2018-01-22,1543842
21099,100_10_0.5,2018-01-23,1541312
21100,100_10_0.5,2018-01-24,1544837
21101,100_10_0.5,2018-01-25,1545807
21102,100_10_0.5,2018-01-26,1541982
21103,100_10_0.5,2018-01-29,1544630
21104,100_10_0.5,2018-01-30,1548735
21105,100_10_0.5,2018-01-31,1552987
21106,100_10_0.5,2018-02-01,1555067
21107,100_10_0.5,2018-02-02,1566775
21108,100_10_0.5,2018-02-05,1555730
21109,100_10_0.5,2018-02-06,1563865
21110,100_10_0.5,2018-02-07,1590907
21111,100_10_0.5,2018-02-08,1573657
21112,100_10_0.5,2018-02-09,1576207
21113,100_10_0.5,2018-02-12,1595657
21114,100_10_0.5,2018-02-13,1593087
21115,100_10_0.5,2018-02-14,1607887
21116,100_10_0.5,2018-02-15,1608427
21117,100_10_0.5,2018-02-16,1609237
21118,100_10_0.5,2018-02-20,1610687
21119,100_10_0.5,2018-02-21,1613787
21120,100_10_0.5,2018-02-22,1612557
21121,100_10_0.5,2018-02-23,1619317
21122,100_10_0.5,2018-02-26,1619132
21123,100_10_0.5,2018-02-27,1621987
21124,100_10_0.5,2018-02-28,1620057
21125,100_10_0.5,2018-03-01,1611327
21126,100_10_0.5,2018-03-02,1627897
21127,100_10_0.5,2018-03-05,1630057
21128,100_10_0.5,2018-03-06,1624557
21129,100_10_0.5,2018-03-07,1611512
21130,100_10_0.5,2018-03-08,1612502
21131,100_10_0.5,2018-03-09,1608707
21132,100_10_0.5,2018-03-12,1612292
21133,100_10_0.5,2018-03-13,1614332
21134,100_10_0.5,2018-03-14,1615292
21135,100_10_0.5,2018-03-15,1619717
21136,100_10_0.5,2018-03-16,1617327
21137,100_10_0.5,2018-03-19,1623032
21138,100_10_0.5,2018-03-20,1622942
21139,100_10_0.5,2018-03-21,1620207
21140,100_10_0.5,2018-03-22,1626307
21141,100_10_0.5,2018-03-23,1619087
21142,100_10_0.5,2018-03-26,1626292
21143,100_10_0.5,2018-03-27,1624432
21144,100_10_0.5,2018-03-28,1626167
