,strategy_code,trade nr.,expiration,entry_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
884,CDPE,54,2015-06-19,2015-04-07,1253.81,14.61,1250/1220/1180,0.17/0.19/0.20,0.60,2015-05-12,35,38,19740,-99640,94,19.81%,tp
885,CDPE,55,2015-07-17,2015-05-05,1213.49,14.12,1210/1180/1140,0.19/0.20/0.22,0.50,2015-06-08,34,39,5700,-99750,95,5.71%,ue
886,CDPE,56,2015-08-21,2015-06-08,1255.23,15.11,1260/1230/1190,0.16/0.18/0.20,0.60,2015-07-17,39,35,18800,-99640,94,18.87%,tp
887,CDPE,57,2015-09-18,2015-07-06,1243.38,17.64,1240/1210/1170,0.19/0.21/0.22,-0.00,2015-07-28,22,52,19800,-99000,99,20.00%,tp
888,CDPE,58,2015-10-16,2015-08-03,1229.53,12.69,1230/1200/1160,0.16/0.18/0.19,0.95,2015-08-20,17,57,-2730,-99644,91,-2.74%,le
889,CDPE,59,2015-11-20,2015-09-09,1149.13,26.37,1150/1120/1080,0.23/0.25/0.27,-0.05,2015-09-28,19,53,-2000,-99499,100,-2.01%,le
890,CDPE,60,2015-12-19,2015-10-06,1133.54,19.44,1130/1100/1060,0.22/0.23/0.25,0.30,2015-11-10,35,39,6790,-99910,97,6.80%,ue
891,CDPE,61,2016-01-15,2015-11-04,1187.02,15.7,1190/1160/1120,0.19/0.20/0.22,0.90,2015-11-13,9,63,-4549,-99190,91,-4.59%,le
892,CDPE,62,2016-02-19,2015-12-07,1159.29,16.53,1160/1130/1090,0.19/0.21/0.23,0.50,2015-12-11,4,70,-3325,-99750,95,-3.33%,le
893,CDPE,63,2016-03-18,2016-01-04,1105.73,21.62,1110/1080/1040,0.21/0.23/0.25,0.25,2016-01-07,3,71,-5334,-99425,97,-5.36%,le
894,CDPE,64,2016-04-15,2016-02-02,1007.33,22.03,1010/980/940,0.24/0.26/0.28,0.20,2016-02-08,6,67,-5390,-99960,98,-5.39%,le
895,CDPE,65,2016-05-20,2016-03-08,1069.56,18.57,1070/1040/1000,0.21/0.23/0.25,0.55,2016-04-12,35,38,9400,-99169,94,9.48%,ue
896,CDPE,66,2016-06-17,2016-04-04,1107.68,14.21,1110/1080/1040,0.18/0.20/0.21,0.95,2016-05-13,39,35,18199,-99645,91,18.26%,tp
897,CDPE,67,2016-07-15,2016-05-03,1119.26,15.84,1120/1090/1050,0.20/0.21/0.23,0.65,2016-06-06,34,39,3487,-99045,93,3.52%,ue
898,CDPE,68,2016-08-19,2016-06-09,1181.06,14.48,1180/1150/1110,0.18/0.19/0.21,1.10,2016-06-24,15,56,-6749,-99900,90,-6.76%,le
899,CDPE,69,2016-09-16,2016-07-05,1140.6,15.65,1140/1110/1070,0.20/0.21/0.23,0.70,2016-08-05,31,42,-2092,-99509,93,-2.10%,ew
900,CDPE,70,2016-10-21,2016-08-10,1221.89,12.26,1220/1190/1150,0.17/0.18/0.20,1.05,2016-09-22,43,29,450,-99449,90,0.45%,ue
901,CDPE,71,2016-11-18,2016-09-08,1257.54,12.16,1260/1230/1190,0.16/0.18/0.20,1.05,2016-09-13,5,66,-7200,-99449,90,-7.24%,le
902,CDPE,72,2016-12-16,2016-10-03,1244.2,13.5,1240/1210/1170,0.18/0.19/0.21,0.65,2016-10-27,24,50,6045,-99045,93,6.10%,le
903,CDPE,73,2017-01-20,2016-11-16,1303.68,13.71,1300/1270/1230,0.19/0.20/0.22,0.80,2016-12-12,26,39,0,-99359,92,0.00%,ue
904,CDPE,74,2017-02-17,2016-12-12,1373.0,12.64,1370/1340/1300,0.19/0.20/0.21,0.55,2017-01-13,32,35,18800,-99169,94,18.96%,tp
905,CDPE,75,2017-03-17,2017-01-05,1371.95,11.82,1370/1340/1300,0.18/0.19/0.21,0.65,2017-02-13,39,32,14880,-99044,93,15.02%,tp
906,CDPE,76,2017-04-21,2017-02-06,1366.0,11.27,1370/1340/1300,0.17/0.18/0.19,0.90,2017-03-14,36,38,19109,-99190,91,19.27%,tp
907,CDPE,77,2017-05-19,2017-03-06,1385.7,11.08,1390/1360/1320,0.17/0.18/0.19,0.70,2017-03-21,15,59,1395,-99510,93,1.40%,le
908,CDPE,78,2017-06-16,2017-04-04,1364.4,12.0,1360/1330/1290,0.16/0.17/0.19,1.00,2017-05-10,36,37,6750,-99000,90,6.82%,ue
909,CDPE,79,2017-10-20,2017-08-09,1394.53,11.75,1390/1360/1320,0.16/0.17/0.19,0.85,2017-09-12,34,38,4140,-99819,92,4.15%,ue
910,CDPE,80,2017-11-17,2017-09-05,1399.25,12.8,1400/1370/1330,0.15/0.16/0.18,0.75,2017-10-02,27,46,-2324,-99975,93,-2.32%,ew
911,CDPE,81,2018-04-20,2018-02-05,1506.35,31.8,1510/1480/1440,0.20/0.21/0.23,-0.30,2018-03-12,35,39,6694,-99910,103,6.70%,ue
912,CDPE,82,2018-05-18,2018-03-08,1570.0,17.13,1570/1540/1500,0.16/0.17/0.19,0.45,2018-03-23,15,56,-1425,-99275,95,-1.44%,le
913,CDPE,83,2018-06-15,2018-04-02,1488.45,24.29,1490/1460/1420,0.20/0.21/0.23,-0.15,2018-05-07,35,39,5302,-99485,101,5.33%,ue
914,CDPE,84,2018-09-21,2018-07-10,1694.6,12.66,1690/1660/1620,0.13/0.15/0.16,0.50,2018-08-10,31,42,19475,-99750,95,19.52%,tp
915,CDPE,85,2018-10-19,2018-08-13,1678.5,14.54,1680/1650/1610,0.12/0.14/0.15,1.05,2018-09-10,28,39,900,-99450,90,0.90%,ue
916,CDPE,86,2018-11-16,2018-09-04,1732.0,13.37,1730/1700/1660,0.13/0.14/0.15,0.70,2018-10-01,27,46,6044,-99510,93,6.07%,le
917,CDPE,87,2018-12-21,2018-10-08,1632.55,15.83,1630/1600/1560,0.15/0.17/0.18,0.15,2018-10-10,2,72,-8819,-99470,98,-8.87%,le
918,CDPE,88,2019-01-18,2018-11-05,1545.95,20.16,1550/1520/1480,0.20/0.21/0.23,-0.60,2018-11-14,9,65,-529,-99640,106,-0.53%,le
919,CDPE,89,2019-02-15,2018-12-04,1480.6,20.83,1480/1450/1410,0.20/0.21/0.23,-0.55,2018-12-13,9,64,-4724,-99225,105,-4.76%,le
920,CDPE,90,2019-03-15,2019-01-03,1335.65,25.26,1340/1310/1270,0.24/0.26/0.27,-0.90,2019-01-31,28,43,11990,-99190,109,12.09%,le
921,CDPE,91,2019-06-21,2019-04-08,1577.85,13.13,1580/1550/1510,0.15/0.16/0.17,0.45,2019-05-13,35,39,-5225,-99275,95,-5.26%,le
922,CDPE,92,2019-07-19,2019-05-07,1582.3116,21.08,1580/1550/1510,0.19/0.20/0.22,-0.35,2019-05-13,6,67,-3605,-99395,103,-3.63%,le
923,CDPE,93,2019-08-16,2019-06-05,1506.7928,16.37,1510/1480/1440,0.18/0.19/0.20,-0.15,2019-07-08,33,39,10099,-99485,101,10.15%,ue
924,CDPE,94,2019-09-20,2019-07-08,1561.3866,13.88,1560/1530/1490,0.15/0.16/0.17,0.35,2019-08-05,28,46,-11520,-99360,96,-11.59%,le
925,CDPE,95,2019-10-18,2019-08-05,1487.4137,23.16,1490/1460/1420,0.20/0.21/0.23,-0.60,2019-09-09,35,39,13249,-99640,106,13.30%,ue
926,CDPE,96,2019-11-15,2019-09-03,1472.2827,19.8,1470/1440/1400,0.20/0.21/0.23,-0.50,2019-10-11,38,35,9450,-99750,105,9.47%,ue
927,CDPE,97,2019-12-20,2019-10-07,1497.7871,17.75,1500/1470/1430,0.18/0.20/0.21,-0.30,2019-11-11,35,39,7210,-99910,103,7.22%,ue
928,CDPE,98,2020-01-17,2019-11-06,1590.3986,12.87,1590/1560/1520,0.15/0.16/0.18,0.55,2019-12-09,33,39,2349,-99170,94,2.37%,ue
929,CDPE,99,2020-02-21,2019-12-09,1631.7208,15.58,1630/1600/1560,0.15/0.17/0.18,0.15,2020-01-13,35,39,10289,-99470,98,10.34%,ue
930,CDPE,100,2020-03-20,2020-01-07,1659.8527,13.55,1660/1630/1590,0.14/0.15/0.17,0.40,2020-01-31,24,49,-5760,-99840,96,-5.77%,le
931,CDPE,101,2020-04-17,2020-02-06,1679.7672,14.9,1680/1650/1610,0.14/0.15/0.17,0.45,2020-02-24,18,53,-4749,-99275,95,-4.78%,le
932,CDPE,102,2020-05-15,2020-03-03,1492.9539,37.17,1490/1460/1420,0.27/0.28/0.30,-1.25,2020-03-06,3,70,-12540,-99750,114,-12.57%,le
933,CDPE,103,2020-06-19,2020-04-13,1212.0415,41.7,1210/1180/1140,0.42/0.44/0.46,-1.85,2020-05-11,28,39,15860,-99430,122,15.95%,ue
934,CDPE,104,2020-07-17,2020-05-06,1265.6,33.3,1270/1240/1200,0.39/0.40/0.42,-2.10,2020-05-13,7,65,-4409,-99540,126,-4.43%,le
935,CDPE,105,2020-08-21,2020-06-09,1507.051,27.2,1510/1480/1440,0.31/0.33/0.34,-1.80,2020-06-10,1,72,-4839,-99220,121,-4.88%,le
936,CDPE,106,2020-09-18,2020-07-07,1415.9963,29.21,1420/1390/1350,0.33/0.35/0.36,-1.80,2020-08-10,34,39,19360,-99220,121,19.51%,ue
937,CDPE,107,2020-10-16,2020-08-11,1580.3407,23.81,1580/1550/1510,0.28/0.30/0.31,-1.15,2020-09-04,24,42,-6159,-99120,112,-6.21%,le
938,CDP,1,2007-10-20,2007-08-09,786.43,25.69,790/760/720,0.26/0.29/0.32,0.35,2007-09-24,46,26,19680,-99360,96,19.81%,tp
939,CDP,2,2007-11-17,2007-09-05,791.02,24.82,790/760/720,0.28/0.31/0.34,0.20,2007-10-09,34,39,6860,-99960,98,6.86%,ue
940,CDP,3,2007-12-22,2007-10-08,839.72,17.49,840/810/770,0.20/0.23/0.26,1.00,2007-11-01,24,51,450,-99000,90,0.45%,le
941,CDP,4,2008-01-19,2007-11-05,791.47,24.29,790/760/720,0.27/0.29/0.32,0.15,2007-11-20,15,60,3429,-99470,98,3.45%,le
942,CDP,5,2008-02-16,2007-12-03,763.69,23.55,760/730/690,0.29/0.31/0.34,0.30,2008-01-08,36,39,11640,-99910,97,11.65%,le
943,CDP,6,2008-03-22,2008-01-07,720.02,24.19,720/690/650,0.28/0.30/0.32,0.55,2008-01-18,11,64,4230,-99170,94,4.27%,le
944,CDP,7,2008-04-19,2008-02-04,724.4,25.45,720/690/650,0.29/0.31/0.33,0.45,2008-03-06,31,44,5225,-99275,95,5.26%,le
945,CDP,8,2008-05-17,2008-03-03,681.96,26.6,680/650/610,0.30/0.32/0.35,0.70,2008-04-08,36,39,11857,-99509,93,11.92%,ue
946,CDP,9,2008-06-21,2008-04-07,712.73,22.33,710/680/640,0.27/0.28/0.31,0.95,2008-05-15,38,37,8189,-99645,91,8.22%,ue
947,CDP,10,2008-09-20,2008-07-14,667.23,28.05,670/640/600,0.29/0.31/0.34,1.05,2008-08-12,29,39,450,-99449,90,0.45%,ue
948,CDP,11,2008-11-22,2008-09-09,711.86,25.36,710/680/640,0.28/0.30/0.32,0.85,2008-09-29,20,54,-13800,-99820,92,-13.82%,le
949,CDP,12,2008-12-20,2008-10-06,592.45,52.84,590/560/520,0.46/0.49/0.52,-0.90,2008-10-09,3,72,-20709,-99190,109,-20.88%,le
950,CDP,13,2009-01-17,2008-11-05,518.46,54.98,520/490/450,0.51/0.54/0.59,-0.30,2008-11-12,7,66,-9270,-99910,103,-9.28%,le
951,CDP,14,2009-02-21,2008-12-09,470.11,58.58,470/440/400,0.62/0.65/0.69,-0.70,2009-01-02,24,50,21934,-99510,107,22.04%,tp
952,CDP,15,2009-03-21,2009-01-05,502.99,39.41,500/470/430,0.45/0.48/0.51,0.40,2009-01-14,9,66,-4800,-99840,96,-4.81%,le
953,CDP,16,2009-04-18,2009-02-04,450.91,43.72,450/420/380,0.45/0.49/0.53,1.05,2009-02-20,16,57,4500,-99450,90,4.52%,le
954,CDP,17,2009-06-20,2009-04-06,446.33,41.44,450/420/380,0.49/0.51/0.53,0.75,2009-05-12,36,39,11160,-99975,93,11.16%,ue
955,CDP,18,2010-07-17,2010-05-06,675.31,36.78,680/650/610,0.32/0.35/0.38,1.00,2010-05-25,19,53,-899,-98999,90,-0.91%,le
956,CDP,19,2010-08-21,2010-06-07,619.79,36.8,620/590/550,0.41/0.43/0.47,0.05,2010-07-07,30,45,21284,-99494,99,21.39%,tp
957,CDP,20,2010-09-18,2010-07-06,591.22,30.41,590/560/520,0.38/0.40/0.44,0.90,2010-08-10,35,39,227,-99189,91,0.23%,ue
958,CDP,21,2010-10-16,2010-08-06,650.61,21.91,650/620/580,0.30/0.33/0.36,1.00,2010-08-23,17,54,3149,-99000,90,3.18%,le
959,CDP,22,2010-12-18,2010-10-04,669.1,23.85,670/640/600,0.31/0.33/0.37,1.00,2010-11-09,36,39,4725,-99000,90,4.77%,ue
960,CDP,23,2011-03-19,2011-01-04,786.05,17.52,790/760/720,0.25/0.27/0.30,1.10,2011-02-11,38,36,5625,-99900,90,5.63%,ue
961,CDP,24,2011-05-21,2011-03-07,815.02,20.49,820/790/750,0.26/0.28/0.30,0.70,2011-04-13,37,38,19994,-99510,93,20.09%,tp
962,CDP,25,2011-06-18,2011-04-07,851.5,17.19,850/820/780,0.23/0.25/0.27,0.90,2011-05-09,32,40,20930,-99190,91,21.10%,tp
963,CDP,26,2011-07-16,2011-05-02,854.28,16.11,850/820/780,0.23/0.25/0.27,0.30,2011-05-18,16,59,20855,-99910,97,20.87%,tp
964,CDP,27,2011-10-22,2011-08-08,667.42,44.59,670/640/600,0.40/0.43/0.46,0.00,2011-09-14,37,38,5940,-99000,99,6.00%,ue
965,CDP,28,2011-11-19,2011-09-06,675.68,37.86,680/650/610,0.40/0.43/0.46,-0.65,2011-10-03,27,47,-7949,-99109,106,-8.02%,le
966,CDP,29,2011-12-17,2011-10-03,615.75,44.3,620/590/550,0.50/0.52/0.55,-1.00,2011-11-08,36,39,14430,-99900,111,14.44%,ue
967,CDP,30,2012-01-21,2011-11-07,744.44,30.17,740/710/670,0.37/0.39/0.43,0.05,2011-11-22,15,60,-3465,-99495,99,-3.48%,le
968,CDP,31,2012-02-18,2011-12-07,747.81,28.53,750/720/680,0.36/0.38/0.41,0.55,2011-12-14,7,66,-7990,-99170,94,-8.06%,le
969,CDP,32,2012-03-17,2012-01-04,749.04,22.26,750/720/680,0.31/0.33/0.36,0.60,2012-02-07,34,39,470,-99640,94,0.47%,ue
970,CDP,33,2012-04-21,2012-02-10,814.06,21.52,810/780/740,0.27/0.29/0.32,0.70,2012-03-20,39,32,15809,-99510,93,15.89%,tp
971,CDP,34,2012-05-19,2012-03-05,803.05,18.12,800/770/730,0.26/0.28/0.30,0.90,2012-04-18,44,31,16834,-99190,91,16.97%,tp
