,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
110,DPE,110,2016-02-19,2015-12-07,1160/1130/1090,0.5,2015-12-11,4,70,-3325,-99750,95,-3.33%,le
111,DPE,111,2016-03-18,2016-01-04,1110/1080/1040,0.25,2016-01-07,3,71,-5334,-99425,97,-5.36%,le
112,DPE,112,2016-04-15,2016-02-02,1010/980/940,0.2,2016-02-08,6,67,-5390,-99960,98,-5.39%,le
113,DPE,113,2016-05-20,2016-03-08,1070/1040/1000,0.55,2016-04-12,35,38,9400,-99169,94,9.48%,ue
114,DPE,114,2016-06-17,2016-04-04,1110/1080/1040,0.95,2016-05-13,39,35,18199,-99645,91,18.26%,tp
115,DPE,115,2016-07-15,2016-05-03,1120/1090/1050,0.65,2016-06-06,34,39,3487,-99045,93,3.52%,ue
116,DPE,116,2016-08-19,2016-06-09,1180/1150/1110,1.1,2016-06-24,15,56,-6749,-99900,90,-6.76%,le
117,DPE,117,2016-09-16,2016-07-05,1140/1110/1070,0.7,2016-08-05,31,42,-2092,-99509,93,-2.1%,ew
118,DPE,118,2016-10-21,2016-08-08,1230/1200/1160,1.1,2016-09-22,45,29,2250,-99899,90,2.25%,ue
119,DPE,119,2016-11-18,2016-09-08,1260/1230/1190,1.05,2016-09-13,5,66,-7200,-99449,90,-7.24%,le
120,DPE,120,2016-12-16,2016-10-03,1240/1210/1170,0.65,2016-10-27,24,50,6045,-99045,93,6.1%,le
121,DPE,121,2017-01-20,2016-11-16,1300/1270/1230,0.8,2016-12-12,26,39,0,-99359,92,0.0%,ue
122,DPE,122,2017-02-17,2016-12-12,1370/1340/1300,0.55,2017-01-13,32,35,18800,-99169,94,18.96%,tp
123,DPE,123,2017-03-17,2017-01-05,1370/1340/1300,0.65,2017-02-13,39,32,14880,-99044,93,15.02%,tp
124,DPE,124,2017-04-21,2017-02-06,1370/1340/1300,0.9,2017-03-14,36,38,19109,-99190,91,19.27%,tp
125,DPE,125,2017-05-19,2017-03-06,1390/1360/1320,0.7,2017-03-21,15,59,1395,-99510,93,1.4%,le
126,DPE,126,2017-06-16,2017-04-03,1370/1340/1300,1.15,2017-05-17,44,30,20025,-99235,89,20.18%,tp
127,DPE,127,2017-07-21,2017-05-08,1390/1360/1320,1.6,2017-06-13,36,38,-1720,-99759,86,-1.72%,ue
128,DPE,128,2017-08-18,2017-06-05,1400/1370/1330,1.45,2017-07-14,39,35,-435,-99615,87,-0.44%,ue
129,DPE,129,2017-09-15,2017-07-05,1420/1390/1350,1.6,2017-08-10,36,36,10320,-99760,86,10.34%,le
130,DPE,130,2017-10-20,2017-08-08,1410/1380/1340,1.15,2017-08-17,9,64,-2224,-99235,89,-2.24%,le
